," NDVI (Landsat 5/7/8/9 SR) at CE_ID_1314, 2024-01-01 to 2024-12-31"
"2024-01-02",0.7397
"2024-01-10",0.7236
"2024-01-11",0.6859
"2024-01-18",0.7025
"2024-01-19",0.5401
"2024-01-27",0.6628
"2024-02-03",0.7082
"2024-02-04",0.6751
"2024-02-11",0.7536
"2024-02-19",0.7105
"2024-02-20",0.6577
"2024-02-27",0.7166
"2024-02-28",0.7737
"2024-03-06",0.6944
"2024-03-07",0.6332
"2024-03-14",0.8009
"2024-03-23",0.5067
"2024-03-30",0.7068
"2024-03-31",0.6813
"2024-04-07",0.6791
"2024-04-08",0.5592
"2024-04-15",0.6438
"2024-04-16",0.5718
"2024-04-23",0.6258
"2024-04-24",0.5589
"2024-05-01",0.5619
"2024-05-02",0.5194
"2024-05-09",0.5953
"2024-05-17",0.5476
"2024-05-18",0.5397
"2024-06-02",0.5848
"2024-06-03",0.5684
"2024-06-10",0.649
"2024-06-11",0.5997
"2024-06-18",0.678
"2024-06-19",0.6002
"2024-06-26",0.6864
"2024-06-27",0.5715
"2024-07-12",0.7402
"2024-07-20",0.761
"2024-08-05",0.7231
"2024-08-06",0.6953
"2024-08-13",0.733
"2024-08-14",0.6769
"2024-08-21",0.8362
"2024-08-22",0.6708
"2024-08-29",0.7787
"2024-08-30",0.6641
"2024-09-23",0.7909
"2024-09-30",0.7438
"2024-10-09",0.7521
"2024-10-16",0.7451
"2024-11-01",0.6617
"2024-11-02",0.6907
"2024-11-09",0.7267
"2024-11-18",0.6848
"2024-11-25",0.7244
"2024-11-26",0.6631
"2024-12-03",0.708
"2024-12-04",0.7679
"2024-12-19",0.7668